"","MSSubClass","MSZoning","LotArea","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SalePrice"
"11",2,1,11200,1,1,1,1,2,1,1,3,1,5,5,1965,1965,1,1,1,2,2,1,1,1,2,906,1,0,134,1040,2,2,2,1040,0,0,1040,0,1,0,3,1,2,5,2,0,2,1965,1,1,384,2,2,2,0,0,0,0,0,0,0,1,2008,129500
"12",2,1,11924,1,1,1,1,2,1,1,3,2,9,5,2005,2006,1,1,2,3,2,2,1,1,2,998,1,0,177,1175,2,2,2,1182,1142,0,2324,0,3,0,4,1,2,11,2,2,2,2005,2,3,736,2,2,2,147,21,0,0,0,0,0,1,2006,345000
"13",2,1,12968,1,1,1,1,2,1,1,3,1,5,6,1962,1962,1,2,1,2,2,1,1,1,2,737,1,0,175,912,2,2,2,912,0,0,912,0,1,0,2,1,2,4,2,0,2,1962,1,1,352,2,2,2,140,0,0,0,176,0,0,1,2008,144000
"14",2,1,10652,1,1,1,1,2,1,1,3,1,7,5,2006,2007,2,2,2,2,2,2,1,2,1,0,1,0,1494,1494,2,2,2,1494,0,0,1494,0,2,0,3,1,2,7,2,1,2,2006,2,3,840,2,2,2,160,33,0,0,0,0,0,1,2007,279500
"15",2,1,10920,1,1,1,1,2,1,1,3,1,6,5,1960,1960,1,1,2,2,2,1,1,1,2,733,1,0,520,1253,2,2,2,1253,0,0,1253,0,1,1,2,1,2,5,2,1,2,1960,2,1,352,2,2,2,0,213,176,0,0,0,0,1,2008,157000
"16",2,1,6120,1,1,1,1,2,1,1,3,1,7,8,1929,2001,1,1,1,2,2,1,1,1,1,0,1,0,832,832,2,2,2,854,0,0,854,0,1,0,2,1,2,5,2,0,2,1991,1,2,576,2,2,2,48,112,0,0,0,0,0,1,2007,132000
"17",2,1,11241,1,1,2,1,2,1,1,3,1,6,7,1970,1970,1,1,2,2,2,1,1,1,2,578,1,0,426,1004,2,2,2,1004,0,0,1004,0,1,0,2,1,2,5,2,1,2,1970,2,2,480,2,2,2,0,0,0,0,0,0,700,1,2010,149000
"18",2,1,10791,1,1,1,1,2,1,1,2,1,4,5,1967,1967,1,1,1,2,2,1,1,1,1,0,1,0,0,0,2,2,2,1296,0,0,1296,0,2,0,2,2,2,6,2,0,2,1967,1,2,516,2,2,2,0,0,0,0,0,0,500,1,2006,90000
"19",2,1,13695,1,1,1,1,2,0,1,3,1,5,5,2004,2004,2,2,1,2,2,1,1,1,2,646,1,0,468,1114,2,2,2,1114,0,0,1114,0,1,1,3,1,2,6,2,0,2,2004,1,2,576,2,2,2,0,102,0,0,0,0,0,1,2008,159000
"20",2,1,7560,1,1,1,1,2,1,1,3,1,5,6,1958,1965,2,2,1,2,2,1,1,1,1,504,1,0,525,1029,2,2,2,1339,0,0,1339,0,1,0,3,1,2,6,2,0,2,1958,1,1,294,2,2,2,0,0,0,0,0,0,0,1,2009,139000
"21",2,1,14215,1,1,1,1,2,1,1,3,2,8,5,2005,2006,2,2,2,2,2,2,1,2,1,0,1,0,1158,1158,2,2,2,1158,1218,0,2376,0,3,1,4,1,2,9,2,1,2,2005,2,3,853,2,2,2,240,154,0,0,0,0,0,1,2006,325300
"22",2,1,7449,1,1,1,1,2,1,1,3,1,7,7,1930,1950,1,1,1,2,2,1,1,1,1,0,1,0,637,637,2,2,2,1108,0,0,1108,0,1,0,3,1,2,6,2,1,2,1930,1,1,280,2,2,1,0,0,205,0,0,0,0,1,2007,139400
"23",2,1,9742,1,1,1,1,2,1,1,3,1,8,5,2002,2002,2,2,2,2,2,2,1,1,1,0,1,0,1777,1777,2,2,2,1795,0,0,1795,0,2,0,3,1,2,7,2,1,2,2002,2,2,534,2,2,2,171,159,0,0,0,0,0,1,2008,230000
"24",2,1,4224,1,1,1,1,2,1,1,2,1,5,7,1976,1976,1,1,1,2,2,2,1,1,2,840,1,0,200,1040,2,2,2,1060,0,0,1060,0,1,0,3,1,2,6,2,1,2,1976,1,2,572,2,2,2,100,110,0,0,0,0,0,1,2007,129900
"25",2,1,8246,1,1,1,1,2,1,1,3,1,5,8,1968,2001,2,2,1,2,2,1,1,2,2,188,2,668,204,1060,2,2,2,1060,0,0,1060,0,1,0,3,1,2,6,2,1,2,1968,1,1,270,2,2,2,406,90,0,0,0,0,0,1,2010,154000
"26",2,1,14230,1,1,1,1,2,1,1,3,1,8,5,2007,2007,2,2,2,2,2,2,1,1,1,0,1,0,1566,1566,2,2,2,1600,0,0,1600,0,2,0,3,1,2,7,2,1,2,2007,2,3,890,2,2,2,0,56,0,0,0,0,0,1,2009,256300
"27",2,1,7200,1,1,1,1,2,1,1,3,1,5,7,1951,2000,1,1,1,2,2,1,1,2,2,234,2,486,180,900,2,2,2,900,0,0,900,1,1,0,3,1,2,5,2,0,2,2005,1,2,576,2,2,2,222,32,0,0,0,0,0,1,2010,134800
"28",2,1,11478,1,1,1,1,2,1,1,3,1,8,5,2007,2008,2,2,2,2,2,2,1,1,2,1218,1,0,486,1704,2,2,2,1704,0,0,1704,0,2,0,3,1,2,7,2,1,2,2008,2,3,772,2,2,2,0,50,0,0,0,0,0,1,2010,306000
"29",2,1,16321,1,1,2,1,2,1,1,3,1,5,6,1957,1997,1,1,1,2,2,1,1,3,2,1277,1,0,207,1484,2,2,2,1600,0,0,1600,0,1,0,2,1,2,6,2,2,2,1957,2,1,319,2,2,2,288,258,0,0,0,0,0,1,2006,207500
"30",1,1,6324,1,1,1,1,2,1,0,3,1,4,6,1927,1950,1,1,1,2,2,1,1,1,1,0,1,0,520,520,2,2,1,520,0,0,520,0,1,0,1,1,1,4,2,0,2,1920,1,1,240,2,2,2,49,0,87,0,0,0,0,1,2008,68500
"31",1,1,8500,1,1,1,1,2,1,1,3,2,4,4,1920,1950,2,2,1,2,2,1,1,1,1,0,1,0,649,649,2,2,1,649,668,0,1317,0,1,0,3,1,2,6,2,0,2,1920,1,1,250,2,2,1,0,54,172,0,0,0,0,1,2008,40000
"32",2,1,8544,1,1,2,1,2,1,1,3,1,5,6,1966,2006,1,1,1,2,2,1,1,1,1,0,1,0,1228,1228,2,2,2,1228,0,0,1228,0,1,1,3,1,2,6,2,0,2,1966,1,1,271,2,2,2,0,65,0,0,0,0,0,1,2008,149350
"33",2,1,11049,1,1,1,1,2,1,1,3,1,8,5,2007,2007,2,2,1,2,2,2,1,2,1,0,1,0,1234,1234,2,2,2,1234,0,0,1234,0,2,0,3,1,2,7,2,0,2,2007,2,2,484,2,2,2,0,30,0,0,0,0,0,1,2008,179900
"34",2,1,10552,1,1,1,1,2,1,1,3,1,5,5,1959,1959,2,2,1,2,2,1,1,1,2,1018,1,0,380,1398,2,2,2,1700,0,0,1700,1,1,1,4,1,2,6,2,1,2,1959,2,2,447,2,2,2,0,38,0,0,0,0,0,1,2010,165500
"35",2,1,7313,1,1,1,1,2,1,1,2,1,9,5,2005,2005,1,1,2,3,2,2,1,1,2,1153,1,0,408,1561,2,2,2,1561,0,0,1561,0,2,0,2,1,2,6,2,1,2,2005,2,2,556,2,2,2,203,47,0,0,0,0,0,1,2007,277500
"36",2,1,13418,1,1,1,1,2,1,1,3,2,8,5,2004,2005,2,2,2,2,2,2,1,2,1,0,1,0,1117,1117,2,2,2,1132,1320,0,2452,0,3,1,4,1,2,9,2,1,2,2004,2,3,691,2,2,2,113,32,0,0,0,0,0,1,2006,309000
"37",2,1,10859,1,1,1,1,2,1,1,3,1,5,5,1994,1995,2,2,1,2,2,2,1,1,1,0,1,0,1097,1097,2,2,2,1097,0,0,1097,0,1,1,3,1,2,6,2,0,2,1995,1,2,672,2,2,2,392,64,0,0,0,0,0,1,2009,145000
"38",2,1,8532,1,1,1,1,2,1,1,3,1,5,6,1954,1990,1,1,2,2,2,1,1,1,2,1213,1,0,84,1297,2,2,2,1297,0,0,1297,1,1,0,3,1,2,5,2,1,2,1954,2,2,498,2,2,2,0,0,0,0,0,0,0,1,2009,153000
"39",2,1,7922,1,1,1,1,2,1,1,3,1,5,7,1953,2007,2,2,1,2,2,1,1,1,2,731,1,0,326,1057,2,2,2,1057,0,0,1057,0,1,0,3,1,2,5,2,0,2,1953,1,1,246,2,2,2,0,52,0,0,0,0,0,1,2010,109000
"40",2,1,6040,1,1,1,1,2,1,1,2,1,4,5,1955,1955,2,2,1,2,2,1,1,1,1,0,1,0,0,0,2,2,1,1152,0,0,1152,0,2,0,2,2,1,6,2,0,1,NA,1,0,0,1,1,1,0,0,0,0,0,0,0,1,2008,82000
"41",2,1,8658,1,1,1,1,2,1,1,3,1,6,5,1965,1965,1,1,2,2,2,1,1,1,2,643,1,0,445,1088,2,2,2,1324,0,0,1324,0,2,0,3,1,2,6,2,1,2,1965,2,2,440,2,2,2,0,138,0,0,0,0,0,1,2006,160000
"42",2,1,16905,1,1,1,1,2,1,1,3,1,5,6,1959,1959,2,2,1,2,2,1,1,3,2,967,1,0,383,1350,2,2,2,1328,0,0,1328,1,1,1,2,1,2,5,2,2,2,1959,2,1,308,2,2,1,0,104,0,0,0,0,0,1,2007,170000
"43",2,1,9180,1,1,2,1,2,1,1,3,1,5,7,1983,1983,1,1,1,2,2,2,1,2,2,747,1,93,0,840,2,2,2,884,0,0,884,0,1,0,2,1,2,5,2,0,2,1983,2,2,504,2,2,2,240,0,0,0,0,0,0,1,2007,144000
"44",2,1,9200,1,1,2,1,2,1,1,3,1,5,6,1975,1980,2,2,1,2,2,2,1,2,1,280,2,491,167,938,2,2,2,938,0,0,938,0,1,0,3,1,2,5,2,0,2,1977,1,1,308,2,2,2,145,0,0,0,0,0,0,1,2008,130250
"45",2,1,7945,1,1,1,1,2,1,1,3,1,5,6,1959,1959,2,1,1,2,2,1,1,1,2,179,2,506,465,1150,2,2,2,1150,0,0,1150,0,1,0,3,1,2,6,2,0,2,1959,2,1,300,2,2,2,0,0,0,0,0,0,0,1,2006,141000
"46",2,1,7658,1,1,1,1,2,1,1,2,1,9,5,2005,2005,1,1,2,3,2,2,1,1,2,456,1,0,1296,1752,2,2,2,1752,0,0,1752,0,2,0,2,1,2,6,2,1,2,2005,2,2,576,2,2,2,196,82,0,0,0,0,0,1,2010,319900
"47",2,1,12822,1,1,2,1,2,1,1,3,1,7,5,2003,2003,2,2,1,2,2,2,1,1,2,1351,1,0,83,1434,2,2,2,1518,631,0,2149,0,1,1,1,1,2,6,2,1,2,2003,2,2,670,2,2,2,168,43,0,0,198,0,0,1,2009,239686
"48",2,0,11096,1,1,1,1,2,1,1,3,1,8,5,2006,2006,2,2,1,2,2,2,1,2,2,24,1,0,1632,1656,2,2,2,1656,0,0,1656,0,2,0,3,1,2,7,2,0,2,2006,2,3,826,2,2,2,0,146,0,0,0,0,0,1,2007,249700
"49",2,1,4456,1,1,1,1,2,1,1,2,2,4,5,1920,2008,1,1,1,2,2,1,1,1,1,0,1,0,736,736,2,2,2,736,716,0,1452,0,2,0,2,3,2,8,2,0,1,NA,1,0,0,1,1,1,0,0,102,0,0,0,0,1,2009,113000
"50",2,1,7742,1,1,1,1,2,1,1,3,1,5,7,1966,1966,1,1,1,2,2,1,1,1,2,763,1,0,192,955,2,2,2,955,0,0,955,0,1,0,3,1,2,6,2,0,2,1966,1,1,386,2,2,2,0,0,0,0,0,0,0,1,2007,127000
"51",2,1,13869,1,1,1,1,2,1,1,3,2,6,6,1997,1997,2,2,1,2,2,2,1,2,2,182,1,0,612,794,2,2,2,794,676,0,1470,1,2,0,3,1,2,6,2,0,2,1997,2,2,388,2,2,2,0,75,0,0,0,0,0,1,2007,177000
"52",2,1,6240,1,1,1,1,2,1,1,3,1,6,6,1934,1950,1,1,1,2,2,1,1,1,1,0,1,0,816,816,2,2,2,816,0,360,1176,0,1,0,3,1,2,6,2,1,2,1985,1,2,528,2,2,2,112,0,0,0,0,0,400,1,2006,114500
"53",2,1,8472,1,1,1,1,2,0,1,2,1,5,5,1963,1963,1,1,1,2,2,2,1,3,1,104,2,712,0,816,2,2,1,816,0,0,816,0,1,0,2,1,2,5,2,0,2,1963,1,2,516,2,2,2,106,0,0,0,0,0,0,1,2010,110000
"54",2,1,50271,0,1,1,1,2,1,1,3,1,9,5,1981,1987,1,1,1,2,2,2,1,3,2,1810,1,0,32,1842,2,2,2,1842,0,0,1842,0,0,1,0,1,2,5,2,1,2,1981,2,3,894,2,2,2,857,72,0,0,0,0,0,1,2006,385000
"55",2,1,7134,1,1,1,1,2,1,1,3,1,5,5,1955,1955,1,1,1,2,2,1,1,1,2,384,1,0,0,384,2,2,2,1360,0,0,1360,0,1,0,3,1,2,6,2,1,2,1962,1,2,572,2,2,2,0,50,0,0,0,0,0,1,2007,130000
"56",2,1,10175,1,1,1,1,2,1,1,3,1,6,5,1964,1964,1,2,2,2,2,1,1,1,2,490,1,0,935,1425,2,2,2,1425,0,0,1425,0,2,0,3,1,2,7,2,1,2,1964,2,2,576,2,2,2,0,0,0,407,0,0,0,1,2008,180500
"57",2,0,2645,1,1,1,1,2,1,1,1,2,8,5,1999,2000,1,1,2,2,2,2,1,1,2,649,1,0,321,970,2,2,2,983,756,0,1739,0,2,1,3,1,2,7,2,0,2,1999,2,2,480,2,2,2,115,0,0,0,0,0,0,1,2009,172500
"58",2,1,11645,1,1,1,1,2,1,1,3,2,7,5,2004,2004,2,2,1,2,2,2,1,1,1,0,1,0,860,860,2,2,2,860,860,0,1720,0,2,1,3,1,2,7,2,0,2,2004,2,2,565,2,2,2,0,70,0,0,0,0,0,1,2006,196500
"59",2,1,13682,1,1,2,1,2,1,1,3,2,10,5,2006,2006,2,2,2,3,2,2,1,3,1,0,1,0,1410,1410,2,2,2,1426,1519,0,2945,0,3,1,3,1,2,10,2,1,2,2006,2,3,641,2,2,2,192,0,37,0,0,0,0,1,2006,438780
"60",2,1,7200,1,1,1,1,2,1,1,3,1,5,7,1972,1972,1,1,1,2,2,1,1,2,2,632,1,0,148,780,2,2,2,780,0,0,780,0,1,0,2,1,2,4,2,0,2,1973,1,1,352,2,2,2,196,0,0,0,0,0,0,1,2008,124900
"61",2,1,13072,1,1,1,1,2,0,1,3,1,6,5,2004,2004,2,2,1,2,2,2,1,1,2,941,1,0,217,1158,2,2,2,1158,0,0,1158,0,1,1,3,1,2,5,2,0,2,2006,1,2,576,2,2,2,0,50,0,0,0,0,0,1,2006,158000
"62",2,1,7200,1,1,1,1,2,1,1,3,2,5,7,1920,1996,1,1,1,2,2,1,1,1,1,0,1,0,530,530,2,2,1,581,530,0,1111,0,1,0,3,1,1,6,2,0,2,1935,1,1,288,2,2,1,0,0,144,0,0,0,0,1,2007,101000
"63",2,1,6442,1,1,1,1,2,1,1,2,1,8,5,2006,2006,2,2,2,2,2,2,2,2,2,24,1,0,1346,1370,2,2,2,1370,0,0,1370,0,2,0,2,1,2,6,2,1,2,2006,2,2,484,2,2,2,120,49,0,0,0,0,0,1,2007,202500
"64",1,1,10300,1,1,1,1,2,0,1,3,2,7,6,1921,1950,2,2,1,2,2,1,1,1,1,0,1,0,576,576,2,2,2,902,808,0,1710,0,2,0,3,1,2,9,2,0,2,1990,1,2,480,2,2,2,12,11,64,0,0,0,0,1,2010,140000
"65",2,1,9375,1,1,1,1,2,1,1,3,2,7,5,1997,1998,2,2,2,2,2,2,1,1,2,739,1,0,318,1057,2,2,2,1057,977,0,2034,0,2,1,3,1,2,8,2,0,2,1998,2,2,645,2,2,2,576,36,0,0,0,0,0,1,2009,219500
"66",2,1,9591,1,1,1,1,2,1,1,3,2,8,5,2004,2005,2,2,2,2,2,2,1,2,1,0,1,0,1143,1143,2,2,2,1143,1330,0,2473,0,2,1,4,1,2,9,2,1,2,2004,2,3,852,2,2,2,192,151,0,0,0,0,0,1,2007,317000
"67",2,1,19900,1,1,1,1,2,2,1,3,1,7,5,1970,1989,2,2,2,2,2,2,1,3,2,912,1,0,1035,1947,2,2,2,2207,0,0,2207,0,2,0,3,1,2,7,2,1,2,1970,2,2,576,2,2,2,301,0,0,0,0,0,0,1,2010,180000
"68",2,1,10665,1,1,1,1,2,1,1,3,1,7,5,2003,2003,2,2,2,2,2,2,1,2,2,1013,1,0,440,1453,2,2,2,1479,0,0,1479,0,2,0,3,1,2,7,2,0,2,2003,2,2,558,2,2,2,144,29,0,0,0,0,0,1,2007,226000
"69",1,1,4608,1,1,1,1,2,1,1,3,1,4,6,1945,1950,1,1,1,2,2,1,1,1,1,0,1,0,747,747,2,2,2,747,0,0,747,0,1,0,2,1,2,4,2,0,2,1945,1,1,220,2,2,2,0,0,0,0,0,0,0,1,2010,80000
"70",2,1,15593,1,1,1,1,2,1,1,3,1,7,4,1953,1953,2,2,1,2,2,1,1,1,2,603,1,0,701,1304,2,2,2,1304,983,0,2287,0,2,0,3,1,2,7,2,1,2,1953,2,2,667,2,2,2,0,21,114,0,0,0,0,1,2006,225000
"71",2,1,13651,1,1,1,1,2,1,1,3,1,7,6,1973,1973,2,2,2,2,2,2,1,3,2,1880,1,0,343,2223,2,2,2,2223,0,0,2223,0,2,0,3,1,2,8,2,2,2,1973,2,2,516,2,2,2,300,0,0,0,0,0,0,1,2007,244000
"72",2,1,7599,1,1,1,1,2,1,1,3,1,4,6,1982,2006,1,2,1,2,2,1,1,1,2,565,1,0,280,845,2,2,2,845,0,0,845,0,1,0,2,1,2,4,2,0,2,1987,1,2,360,2,2,2,0,0,0,0,0,0,0,1,2007,129500
"73",2,1,10141,1,1,1,1,2,1,1,3,2,7,5,1998,1998,2,2,2,2,2,2,1,1,1,0,1,0,832,832,2,2,2,885,833,0,1718,0,2,1,3,1,2,7,2,1,2,1998,2,2,427,2,2,2,0,94,0,0,291,0,0,1,2009,185000
"74",2,1,10200,1,1,1,1,2,1,1,3,1,5,7,1954,2003,1,1,2,2,2,1,1,1,2,320,2,362,404,1086,2,2,2,1086,0,0,1086,0,1,0,3,1,2,6,2,0,2,1989,1,2,490,2,2,2,0,0,0,0,0,0,0,1,2010,144900
"75",2,1,5790,1,1,1,1,2,1,1,3,2,3,6,1915,1950,2,2,1,2,2,1,1,1,1,0,1,0,840,840,2,2,1,840,765,0,1605,0,2,0,3,2,2,8,2,0,2,1915,1,1,379,2,2,2,0,0,202,0,0,0,0,1,2010,107400
"76",2,1,1596,1,1,1,1,2,1,1,1,1,4,5,1973,1973,1,1,1,2,2,2,1,3,2,462,1,0,0,462,2,2,2,526,462,0,988,0,1,0,2,1,2,5,2,0,2,1973,1,1,297,2,2,2,120,101,0,0,0,0,0,1,2009,91000
"77",2,1,8475,1,1,1,1,2,1,1,3,1,4,7,1956,1956,2,2,1,2,2,1,1,1,2,228,1,0,724,952,2,2,2,952,0,0,952,0,1,0,2,1,2,4,2,0,2,1956,1,1,283,2,2,2,0,0,0,0,0,0,0,1,2008,135750
"78",2,1,8635,1,1,1,1,2,1,1,3,1,5,5,1948,2001,1,1,1,2,2,1,1,1,2,336,2,41,295,672,2,2,2,1072,213,0,1285,0,1,0,2,1,2,6,2,0,2,1948,1,1,240,2,2,2,0,0,0,0,0,0,0,1,2008,127000
"79",2,1,10778,1,1,1,1,2,1,1,2,1,4,5,1968,1968,1,1,1,2,2,1,1,1,1,0,1,0,1768,1768,2,2,1,1768,0,0,1768,0,2,0,4,2,2,8,2,0,1,NA,1,0,0,1,1,2,0,0,0,0,0,0,0,1,2010,136500
"80",2,1,10440,1,1,1,1,2,1,1,3,2,5,6,1910,1981,1,1,1,2,2,1,1,1,1,0,1,0,440,440,2,2,2,682,548,0,1230,0,1,1,2,1,2,5,2,0,2,1966,1,2,440,2,2,2,74,0,128,0,0,0,0,1,2009,110000
"81",2,1,13000,1,1,1,1,2,1,1,3,2,6,6,1968,1968,2,2,2,2,2,2,1,1,2,448,1,0,448,896,2,2,2,1182,960,0,2142,0,2,1,4,1,2,8,2,1,2,1968,2,1,509,2,2,2,0,72,0,0,252,0,0,1,2009,193500
"82",2,1,4500,1,1,1,1,2,1,1,2,1,6,5,1998,1998,2,2,2,2,2,2,2,1,2,1201,1,0,36,1237,2,2,2,1337,0,0,1337,0,2,0,2,1,2,5,2,0,2,1998,2,2,405,2,2,2,0,199,0,0,0,0,0,1,2006,153500
"83",2,1,10206,1,1,1,1,2,1,1,3,1,8,5,2007,2007,2,2,2,2,2,2,1,1,2,33,1,0,1530,1563,2,2,2,1563,0,0,1563,0,2,0,3,1,2,6,2,1,2,2007,2,3,758,2,2,2,144,99,0,0,0,0,0,1,2008,245000
"84",2,1,8892,1,1,1,1,2,1,1,3,1,5,5,1960,1960,1,1,2,2,2,1,1,1,1,0,1,0,1065,1065,2,2,2,1065,0,0,1065,0,1,1,3,1,2,6,2,0,2,1974,1,2,461,2,2,2,74,0,0,0,0,0,0,1,2007,126500
"85",2,1,8530,1,1,1,1,2,1,1,3,1,7,5,1995,1996,1,1,2,2,2,2,1,1,1,0,1,0,384,384,2,2,2,804,670,0,1474,0,2,1,3,1,2,7,2,1,2,1995,2,2,400,2,2,2,120,72,0,0,0,0,700,1,2009,168500
"86",2,1,16059,1,1,1,1,2,1,1,3,2,8,5,1991,1992,1,1,2,2,2,2,1,1,1,0,1,0,1288,1288,2,2,2,1301,1116,0,2417,0,2,1,4,1,2,9,2,1,2,1991,1,2,462,2,2,2,127,82,0,0,0,0,0,1,2006,260000
"87",2,1,11911,1,1,1,1,2,1,1,3,2,6,5,2005,2005,2,2,1,2,2,2,1,2,1,0,1,0,684,684,2,2,2,684,876,0,1560,0,2,1,3,1,2,6,2,1,2,2005,2,2,400,2,2,2,100,38,0,0,0,0,0,1,2009,174000
"88",2,0,3951,1,1,1,1,2,1,1,2,2,6,5,2009,2009,2,2,2,2,2,2,1,2,1,0,1,0,612,612,2,2,2,612,612,0,1224,0,2,1,2,1,2,4,2,0,2,2009,2,2,528,2,2,2,0,234,0,0,0,0,0,1,2009,164500
"89",2,1,8470,1,1,1,1,2,1,1,3,1,3,2,1915,1982,2,2,1,2,2,1,1,1,1,0,1,0,1013,1013,2,2,1,1013,0,513,1526,0,1,0,2,1,1,6,2,0,1,NA,1,0,0,1,1,1,0,0,156,0,0,0,0,1,2009,85000
"90",2,1,8070,1,1,1,1,2,1,1,3,1,4,5,1994,1995,2,2,1,2,2,2,1,1,2,588,1,0,402,990,2,2,2,990,0,0,990,0,1,0,3,1,2,5,2,0,1,NA,1,0,0,1,1,2,0,0,0,0,0,0,0,1,2007,123600
"91",2,1,7200,1,1,1,1,2,1,1,3,1,4,5,1950,1950,2,1,1,2,2,1,1,1,1,0,1,0,0,0,2,2,2,1040,0,0,1040,0,1,0,2,1,2,4,2,0,2,1950,1,2,420,2,2,2,0,29,0,0,0,0,0,1,2006,109900
"92",2,1,8500,1,1,1,1,2,1,1,3,1,5,3,1961,1961,1,1,2,2,2,1,1,1,2,600,1,0,635,1235,2,2,2,1235,0,0,1235,0,1,0,2,1,2,6,2,0,2,1961,1,2,480,2,2,2,0,0,0,0,0,0,0,1,2006,98600
"93",1,1,13360,1,1,1,1,2,1,1,3,1,5,7,1921,2006,1,1,1,2,2,2,1,1,2,713,1,0,163,876,2,2,2,964,0,0,964,0,1,0,2,1,2,5,2,0,2,1921,1,2,432,2,2,2,0,0,44,0,0,0,0,1,2009,163500
